Program ID of Prdict Network training:12280

Program command: 
 ['TrainPredictNet.py', '/home/hxie1/temp_netParameters/OvarianCancer/Predict', '/home/hxie1/data/OvarianCancerCT/Extract_uniform/latent/train', '/home/hxie1/data/OvarianCancerCT/Extract_uniform/latent/test', '/home/hxie1/data/OvarianCancerCT/Extract_uniform/latent/patientResponseDict.json', 'latent']

Major program changes: 
                      the nunmber of filters in 1st layer in V model = 96
                      latent Vector size: 1536*51*49 (featureMap* slices * axisPlaneLatentVector)
                      PredictModel is convsDenseModule+FC network.
                      there total 162 patient data, in which, 130 with smaller patientId as training data, 
                                                          and 32 with bigger patientID as test data

Experiment setting for Latent to response:
Input: 1536*51*49 Tensor as latent vector,
       where 1536 is the  number of filter at the bottleneck of V model, 
             51 is the number of slices of ROI CT image with size 51*281*281 for input to V model, 
             49 =7*7 is the flatted feature map for each filter.

Predictive Model: 1,  first 4-layer dense conv block reducing feature space into 768 with tensor size 768*51*49 
                  2,  and 4 dense conv blocks each of which includes a stride 2 conv and 4-layers dense conv block; now the the tensor is with size 48*2*2
                  3,  and a simple conv-batchNorm-Relu layer with filter size(2,2) change the tensor with size of  48*1;
                  4,  and 2 fully connected layers  changes the tensor into size 2*1;
                  5  final a softmax for binary classification;
                  Total network learning parameters are 29 millions.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/LatentPredictModel.py

Loss Function:   Cross Entropy with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.

Data:            training data has 130 patients, and test data has 32 patients with training/test rate 80/20.

Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.
                                                          
                                                         
Experiment setting for Image3d to response:
Input: 73*141*141 scaled 3D CT raw image as numpy array 
       
Predictive Model: 1,  first 3-layer dense conv block with channel size 64.
                  2,  and 6 dense conv DownBB blocks,  each of which includes a stride 2 conv and 4-layers dense conv block; 
                  3,  and 2 fully connected layers  changes the tensor into size 2*1;
                  4,  final a softmax for binary classification;
                  Total network learning parameters are 1.56 millions.
                  Network architecture is referred at https://github.com/Hui-Xie/OvarianCancer/blob/master/Image3dPredictModel.py

Loss Function:   Cross Entropy with weight [3.3, 1.4] for [0,1] class separately, as [0,1] uneven distribution.

Data:            training data has 130 patients, and test data has 32 patients with training/test rate 80/20.

Training strategy:  50% probability of data are mixed up with beta distribution with alpha =0.4, to feed into network for training. 
                    No other data augmentation, and no dropout.  
                    
                    change patience of learningRate scheduler to 30.
                                         

            

Program starting Time: 2019-05-31 09:51:06.297886
Info: netPath = /home/hxie1/temp_netParameters/OvarianCancer/Predict

Now program get 130 input files.
Now program get 32 input files.
TrainData Input:  batchSize=16, depth=1536, height=51, width=49, NumClassfication=2

TestData Input:  batchSize=16, depth=1536, height=51, width=49, NumClassfication=2

Info: program uses Mixup with alpha=0.4, and mixupProb = 0.5.
Program loads net from /home/hxie1/temp_netParameters/OvarianCancer/Predict.
Current best test dice: 0.5
Network has total 29,359,778 parameters.
Infor: Cross Entropy Weight: [3.3333333333333335, 1.4285714285714286] for label[0, 1]
Info: program will use 4 GPUs.
Loss Functions List: FocalCELoss with weight of 1; 
Hints: Optimal_Result = Yes = 1,  Optimal_Result = No = 0 


Epoch		TrLoss	TrainAccuracy	TsLoss	TestAccuracy
166		0.0825	0.948		0.2040	0.500
167		0.1088	0.844		0.1997	0.500
168		0.1228	0.906		0.1817	0.625
169		0.1364	0.825		0.1979	0.500
170		0.1268	0.917		0.1952	0.500
171		0.0901	0.975		0.1817	0.625
172		0.0970	0.906		0.1878	0.500
173		0.0960	0.925		0.1980	0.500
174		0.1284	0.838		0.1934	0.562
175		0.1080	0.844		0.1986	0.500
176		0.1110	0.917		0.1947	0.562
177		0.1161	0.812		0.1889	0.625
178		0.1022	0.938		0.1999	0.500
179		0.1157	0.875		0.1926	0.562
180		0.1086	0.875		0.1911	0.625
181		0.0973	0.887		0.1826	0.625
182		0.0884	0.844		0.1817	0.625
183		0.0897	0.906		0.1863	0.625
184		0.1222	0.938		0.1972	0.625
185		0.1289	0.812		0.1969	0.500
186		0.1347	0.844		0.1962	0.500
187		0.1172	0.812		0.2005	0.500
188		0.1216	0.844		0.1965	0.562
189		0.0832	0.906		0.1832	0.625
190		0.1166	0.917		0.1904	0.562
191		0.1015	0.891		0.2023	0.562
192		0.1018	0.896		0.2001	0.500
193		0.0972	0.906		0.2076	0.500
194		0.1061	0.812		0.1979	0.562
195		0.0962	0.896		0.1894	0.562
196		0.1210	0.859		0.1805	0.625
197		0.1033	0.854		0.1877	0.625
198		0.1020	0.859		0.1774	0.562
199		0.0961	0.838		0.1879	0.625
200		0.1052	0.875		0.1973	0.500
201		0.1495	0.812		0.2029	0.500
202		0.1038	0.887		0.2049	0.500
203		0.0970	0.969		0.1997	0.500
204		0.1017	0.906		0.1851	0.625
205		0.1209	0.875		0.1852	0.625
206		0.1097	0.854		0.1842	0.625
207		0.1051	0.906		0.1885	0.500
208		0.0923	0.969		0.1888	0.500
209		0.1023	0.906		0.1917	0.500
210		0.1010	0.875		0.1880	0.562
211		0.0977	0.896		0.1870	0.625
212		0.1167	0.812		0.1877	0.625
213		0.1193	0.917		0.1846	0.562
214		0.1058	0.896		0.1902	0.562
215		0.1040	0.891		0.1868	0.562
216		0.1088	0.938		0.1851	0.625
217		0.1108	0.797		0.1772	0.625
218		0.1193	0.896		0.1966	0.500
219		0.0960	0.885		0.2007	0.500
220		0.1073	0.859		0.1887	0.500
221		0.0915	0.917		0.1862	0.500
222		0.1055	0.887		0.2007	0.500
223		0.1162	0.925		0.1935	0.500
224		0.1122	0.969		0.1916	0.500
225		0.1104	0.859		0.1886	0.625
226		0.1413	0.854		0.1912	0.500
227		0.1099	0.875		0.1927	0.562
228		0.0953	0.863		0.1954	0.625
229		0.1238	0.891		0.1907	0.625
230		0.1019	0.896		0.1956	0.562
231		0.1176	0.854		0.1967	0.500
232		0.1226	0.875		0.1835	0.625
233		0.1264	0.787		0.1901	0.625
234		0.1018	0.906		0.1923	0.562
235		0.0862	0.906		0.1809	0.625
236		0.1093	0.863		0.1888	0.625
237		0.1042	0.812		0.1897	0.500
238		0.1038	0.828		0.1954	0.562
239		0.0941	0.948		0.1849	0.562
240		0.0955	0.938		0.1815	0.625
241		0.1033	0.850		0.1830	0.625
242		0.1040	0.906		0.1868	0.625
243		0.1026	0.906		0.1886	0.562
244		0.1099	0.844		0.1964	0.500
245		0.0933	0.969		0.1779	0.625
246		0.0990	0.857		0.1831	0.625
247		0.0930	0.906		0.1835	0.625
248		0.1201	0.792		0.1835	0.625
249		0.1017	0.938		0.1904	0.562
250		0.1051	0.969		0.1890	0.562
251		0.1309	0.775		0.1969	0.500
252		0.1011	0.938		0.1929	0.562
253		0.0956	0.885		0.1848	0.562
254		0.1133	0.859		0.1872	0.562
255		0.1211	0.938		0.1915	0.562
256		0.1101	0.863		0.1900	0.562
257		0.1212	0.859		0.1963	0.500
258		0.0892	0.917		0.1821	0.625
259		0.1012	0.922		0.1808	0.625
260		0.1160	0.958		0.1914	0.562
261		0.0915	0.922		0.1911	0.625
262		0.1151	0.875		0.1961	0.562
263		0.0898	0.917		0.1977	0.500
264		0.1091	0.854		0.1951	0.625
265		0.1034	0.906		0.1902	0.625
266		0.1084	0.887		0.1991	0.500
267		0.1027	0.900		0.1959	0.500
268		0.1255	0.812		0.1957	0.500
269		0.1042	0.833		0.1944	0.562
270		0.0963	0.912		0.1846	0.625
271		0.1244	0.906		0.1907	0.625
272		0.0960	0.917		0.1969	0.500
273		0.0985	0.887		0.1943	0.500
274		0.0915	0.825		0.1883	0.562
275		0.1272	0.922		0.1981	0.500
276		0.1005	0.906		0.1828	0.625
277		0.0964	0.891		0.1859	0.562
278		0.0897	0.906		0.1899	0.562
279		0.1002	0.925		0.2008	0.500
280		0.1097	0.887		0.2012	0.562
281		0.1087	0.885		0.1842	0.625
282		0.0858	0.920		0.1858	0.562
283		0.1126	0.917		0.1833	0.562
284		0.1045	0.938		0.1853	0.562
285		0.1134	1.000		0.1900	0.562
286		0.0878	0.917		0.1903	0.562
287		0.1006	0.859		0.1888	0.500
288		0.0885	0.912		0.1874	0.500
289		0.1047	0.859		0.1903	0.500
290		0.1372	0.906		0.1870	0.562
291		0.0916	0.838		0.1822	0.625
292		0.1102	0.854		0.1854	0.625
293		0.1090	0.938		0.1928	0.500
294		0.1316	0.859		0.1896	0.562
295		0.1197	0.854		0.2038	0.500
296		0.0963	0.854		0.2022	0.500
297		0.1052	0.812		0.2001	0.500
298		0.1218	0.828		0.1880	0.625
299		0.0927	0.875		0.1875	0.562
300		0.1073	0.844		0.1824	0.562
301		0.0974	0.938		0.1844	0.562
302		0.1089	0.854		0.1851	0.562
303		0.1212	0.938		0.1902	0.625
304		0.0957	0.863		0.1879	0.500
305		0.0952	0.938		0.1882	0.625
306		0.1007	0.887		0.1822	0.625
307		0.1085	0.875		0.1880	0.625
308		0.1155	0.875		0.1805	0.625
309		0.1023	0.875		0.1800	0.625
310		0.1019	0.844		0.1794	0.625
311		0.1158	0.859		0.1836	0.625
312		0.1263	0.854		0.1916	0.562
313		0.0979	0.912		0.1983	0.562
314		0.0945	0.875		0.1870	0.625
315		0.0972	0.906		0.1995	0.562
316		0.1078	0.875		0.1870	0.625
317		0.1062	0.896		0.1856	0.625
318		0.1042	0.900		0.1771	0.625
319		0.1146	0.891		0.1899	0.562
320		0.1111	0.823		0.1840	0.625
321		0.1049	0.887		0.1975	0.562
322		0.0902	0.938		0.1814	0.625
323		0.0986	0.828		0.1883	0.562
324		0.0888	0.900		0.1914	0.562
325		0.1137	0.854		0.1921	0.562
326		0.0918	0.900		0.1900	0.625
327		0.1236	0.802		0.1866	0.625
328		0.1023	0.938		0.1864	0.562
329		0.1133	0.906		0.1884	0.562
330		0.0946	0.875		0.1918	0.562
331		0.1027	0.917		0.1946	0.562
332		0.1085	0.838		0.1844	0.625
333		0.1104	0.854		0.1893	0.562
